,value,metric,type
0,6.12656989497597,fde,ml
1,6.908385711321093,fde,ml
2,1.1578275731768868,fde,ml
3,0.8267407078714036,fde,ml
4,0.333963863590848,fde,ml
5,5.961511267691118,fde,ml
6,0.5806570773766587,fde,ml
7,0.3191896752661827,fde,ml
8,1.8368272260149257,fde,ml
9,8.888243247643889,fde,ml
10,4.474111468195332,fde,ml
11,2.1930897882552616,fde,ml
12,3.699179084451834,fde,ml
13,7.599520002277724,fde,ml
14,3.977401780805754,fde,ml
15,9.208793579008288,fde,ml
16,2.9857378327549378,fde,ml
17,6.23214208037033,fde,ml
18,5.452632944419709,fde,ml
19,3.376267212829758,fde,ml
20,1.8082131785744455,fde,ml
21,1.212449720658107,fde,ml
22,0.38282131494205424,fde,ml
23,3.60570028280307,fde,ml
24,0.48661402992184355,fde,ml
25,0.3801079057648486,fde,ml
26,1.097639069634356,fde,ml
27,8.935274345810926,fde,ml
28,5.515074503905225,fde,ml
29,2.020790940211537,fde,ml
30,5.4313462746612275,fde,ml
31,9.428174863354098,fde,ml
32,3.0157509673382323,fde,ml
33,9.813551911011784,fde,ml
34,0.3389160921765985,fde,ml
35,2.3276411055591866,fde,ml
36,2.7030709971075466,fde,ml
37,2.008729714426686,fde,ml
38,2.5046872451549045,fde,ml
39,1.4709875702778379,fde,ml
40,0.3830770488080257,fde,ml
41,1.064699385010174,fde,ml
42,1.4660305958081026,fde,ml
43,0.3793341324898545,fde,ml
44,1.10788351505086,fde,ml
45,4.368713317886231,fde,ml
46,5.013896597480544,fde,ml
47,1.9901773401917642,fde,ml
48,6.531202674732387,fde,ml
49,4.932132889350798,fde,ml
50,0.4809405499882443,fde,ml
51,3.017705472775404,fde,ml
52,1.117459560605,fde,ml
53,2.2020687367832097,fde,ml
54,2.51459930543016,fde,ml
55,1.312758949612562,fde,ml
56,3.1890429020966664,fde,ml
57,1.7195511264295766,fde,ml
58,0.3752831914357489,fde,ml
59,1.4792727250670092,fde,ml
60,2.727005427759613,fde,ml
61,0.37131296482177195,fde,ml
62,1.5107718880180272,fde,ml
63,0.2604586768000648,fde,ml
64,3.066929912228884,fde,ml
65,1.7906266235848187,fde,ml
66,7.556600465305833,fde,ml
67,1.6238914243539466,fde,ml
68,3.1251025577567413,fde,ml
69,1.3476506843733889,fde,ml
70,1.6420853255703245,fde,ml
71,1.3608766606302491,fde,ml
72,1.495642503625749,fde,ml
73,2.4101916321869057,fde,ml
74,1.1596219132811898,fde,ml
75,4.204654578870377,fde,ml
76,2.035824457432861,fde,ml
77,0.3704574832765337,fde,ml
78,0.6262475557466068,fde,ml
79,2.7397368430651605,fde,ml
80,0.36650144763007886,fde,ml
81,1.5568755624630615,fde,ml
82,1.8745486593829261,fde,ml
83,5.584466257484926,fde,ml
84,1.8821479626010973,fde,ml
85,9.645944058222264,fde,ml
86,4.715345848174916,fde,ml
87,2.260852214624174,fde,ml
88,4.062993872026367,fde,ml
