,value,metric,type
0,2.989518016166018,ade,ml
1,4.18142499078272,ade,ml
2,0.395792825954874,ade,ml
3,0.29237122833037027,ade,ml
4,0.16754307714404357,ade,ml
5,3.0944498104721077,ade,ml
6,0.28498124990375623,ade,ml
7,0.15640031465419027,ade,ml
8,1.217014052565635,ade,ml
9,4.218399284655168,ade,ml
10,1.9299156123647838,ade,ml
11,1.0829841510588705,ade,ml
12,1.2180446731221926,ade,ml
13,3.2538271028086103,ade,ml
14,1.8970074726343824,ade,ml
15,3.9859994747990513,ade,ml
16,1.6565970383110915,ade,ml
17,3.718303682680459,ade,ml
18,2.7076508578302065,ade,ml
19,2.0608588433319133,ade,ml
20,0.6512793893721173,ade,ml
21,0.4891432476211736,ade,ml
22,0.19346362944659037,ade,ml
23,1.9380022446336567,ade,ml
24,0.1849181967817913,ade,ml
25,0.19083283117109281,ade,ml
26,0.4622318577400242,ade,ml
27,4.498196601612736,ade,ml
28,2.630389850579812,ade,ml
29,0.959502092389419,ade,ml
30,2.1634567658162625,ade,ml
31,4.466323354331949,ade,ml
32,1.5657749831824603,ade,ml
33,4.535722075233334,ade,ml
34,0.15109548368969114,ade,ml
35,1.3677445701376731,ade,ml
36,1.2706864942024616,ade,ml
37,1.356850098347584,ade,ml
38,1.0107001993353375,ade,ml
39,0.6508452782732028,ade,ml
40,0.1915955502919854,ade,ml
41,0.5632204699763943,ade,ml
42,0.6561499420822287,ade,ml
43,0.18836336136611573,ade,ml
44,0.4402342212347803,ade,ml
45,2.2021450668307625,ade,ml
46,2.242348618115485,ade,ml
47,0.920186082254603,ade,ml
48,2.839715839768571,ade,ml
49,2.1515502623833758,ade,ml
50,0.5293233712392083,ade,ml
51,0.9471267358802008,ade,ml
52,0.5249299032150058,ade,ml
53,1.3132927402045456,ade,ml
54,1.43709793940951,ade,ml
55,0.9794370077699668,ade,ml
56,1.4629072995682753,ade,ml
57,0.8581658882170181,ade,ml
58,0.18511731954504243,ade,ml
59,0.9932152725826667,ade,ml
60,1.408432249115554,ade,ml
61,0.18176707897919261,ade,ml
62,0.658238016935541,ade,ml
63,0.20903211606875202,ade,ml
64,1.3966580192206115,ade,ml
65,0.7551591305552551,ade,ml
66,3.6261750318464485,ade,ml
67,0.787912957189632,ade,ml
68,2.173827758626473,ade,ml
69,0.9201432448879371,ade,ml
70,0.784438483898628,ade,ml
71,0.7443754079322703,ade,ml
72,0.6588480898427654,ade,ml
73,1.575832713199213,ade,ml
74,0.7524532701136483,ade,ml
75,2.1342184635781467,ade,ml
76,1.147896185358648,ade,ml
77,0.18079399836197738,ade,ml
78,0.6364264961312013,ade,ml
79,1.5465722830701043,ade,ml
80,0.17756130291826167,ade,ml
81,0.7613595897759842,ade,ml
82,0.8477662262008887,ade,ml
83,2.5679059868112746,ade,ml
84,0.792713699888561,ade,ml
85,5.076057343980332,ade,ml
86,2.195185664763198,ade,ml
87,1.7158761307216652,ade,ml
88,1.3520554619283194,ade,ml
89,0.8331390680054835,ade,ml
90,0.5077019238259729,ade,ml
91,0.6584201531135973,ade,ml
92,0.9815903650107164,ade,ml
93,0.5883944051661633,ade,ml
94,1.2727020683445485,ade,ml
95,0.6142458403791378,ade,ml
96,0.1840558993667778,ade,ml
97,0.7601147621195999,ade,ml
98,0.4884671928031464,ade,ml
99,0.17631915679707696,ade,ml
100,0.8433846367067361,ade,ml
101,0.7357090283624835,ade,ml
102,2.602531026952789,ade,ml
103,1.0863928068885627,ade,ml
104,2.7237532010736873,ade,ml
105,2.251583272812453,ade,ml
106,1.3541276073108686,ade,ml
107,0.9318374701155682,ade,ml
108,0.7323467447037312,ade,ml
109,1.2474935844828563,ade,ml
110,0.6278114444260161,ade,ml
111,0.6802169373207075,ade,ml
112,0.6342713559131142,ade,ml
113,1.883188219880326,ade,ml
114,0.7846296406337737,ade,ml
115,0.18233246208973952,ade,ml
116,1.198276085134411,ade,ml
117,0.4320645848285009,ade,ml
118,0.1770813885704615,ade,ml
119,0.8862700703560082,ade,ml
120,0.7457645133470235,ade,ml
121,2.5196505626927355,ade,ml
122,1.1801177780589003,ade,ml
123,0.8343671951833574,ade,ml
124,1.102391381700606,ade,ml
125,0.44173426826021783,ade,ml
126,1.8234945486212142,ade,ml
127,0.9366179469773606,ade,ml
128,1.663018059408931,ade,ml
129,0.5829077638181531,ade,ml
130,0.7455639295304329,ade,ml
131,0.8876440762725227,ade,ml
132,1.917862131695325,ade,ml
133,0.8683997026582587,ade,ml
134,0.1828904594019426,ade,ml
135,0.6557672457356238,ade,ml
136,0.4766046731535665,ade,ml
137,0.1787243376985155,ade,ml
138,0.3731211158667003,ade,ml
139,1.3982871398141252,ade,ml
140,1.5304763741572873,ade,ml
141,1.1302045013550421,ade,ml
142,0.8122665671878885,ade,ml
143,0.8912255385262142,ade,ml
144,0.761007558599566,ade,ml
145,1.8736510175845424,ade,ml
146,1.2238399359685195,ade,ml
147,1.6589955555965543,ade,ml
148,0.1882180061770196,ade,ml
149,0.5777238549302851,ade,ml
150,1.58559291318958,ade,ml
151,1.98251099063327,ade,ml
152,0.9713539030688197,ade,ml
153,0.18219328603853358,ade,ml
154,1.2111530278754405,ade,ml
155,0.3765796325452883,ade,ml
156,0.1787243376985155,ade,ml
157,0.45100993463037903,ade,ml
158,1.622013401143062,ade,ml
159,1.462657942047257,ade,ml
160,1.1434417700089485,ade,ml
161,0.5603136623319068,ade,ml
162,0.48886282770940537,ade,ml
163,1.0534844116369053,ade,ml
164,1.8591701745910119,ade,ml
165,1.764754444727899,ade,ml
166,2.1769666889060137,ade,ml
167,0.4401748596550437,ade,ml
168,0.3223878886943536,ade,ml
169,0.5869001341143976,ade,ml
170,1.8368436946190532,ade,ml
171,2.4406361061672976,ade,ml
172,1.1767679878848758,ade,ml
173,0.18212143945227066,ade,ml
174,1.3421588047592372,ade,ml
175,0.4038602426247109,ade,ml
176,0.1787243376985155,ade,ml
177,0.18917274465624953,ade,ml
178,2.0076045398481748,ade,ml
179,1.8233392321476085,ade,ml
180,1.1755925761557562,ade,ml
181,1.2686372756660276,ade,ml
182,0.72155352118197,ade,ml
183,0.993315478239407,ade,ml
184,2.785620748079561,ade,ml
185,1.6976614932395881,ade,ml
186,2.2507672149564955,ade,ml
187,0.8139239486223975,ade,ml
188,1.4580738255173769,ade,ml
189,1.5116677531108174,ade,ml
190,1.3893737017633399,ade,ml
191,1.3544022456794558,ade,ml
192,0.6628471105797463,ade,ml
193,0.1809685814288412,ade,ml
194,0.6295292336921897,ade,ml
195,1.1119231407081829,ade,ml
196,0.1787243376985155,ade,ml
197,0.7271611198481857,ade,ml
198,1.1070320271442726,ade,ml
199,2.006884384391771,ade,ml
200,1.2367696787343878,ade,ml
201,2.130635451839893,ade,ml
202,0.9076537354403217,ade,ml
203,1.4901223428476245,ade,ml
204,2.540532714890254,ade,ml
205,1.019875533626159,ade,ml
206,1.3930442157117433,ade,ml
207,0.1743360962359962,ade,ml
208,2.2054078445547307,ade,ml
209,1.5423707498876038,ade,ml
210,1.198786863731099,ade,ml
211,1.8281606866960676,ade,ml
212,0.7084485255522224,ade,ml
213,0.18157575727384753,ade,ml
214,0.7032559749265318,ade,ml
215,1.2279027886915228,ade,ml
216,0.1787243376985155,ade,ml
217,0.8308742018871255,ade,ml
218,1.2562719498770465,ade,ml
219,2.1354593130960224,ade,ml
